appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
347670,Karate Master 2 Knock Down Blow,2015-03-20,1,Crian Soft,Milestone S.r.l.,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie;RPG;Sports,Sports;Action;RPG,18,394,74,189,189,20000-50000,7.99
348620,Voices from the Sea,2015-03-24,1,Zeiva Inc,Zeiva Inc,windows,0,Single-player,Adventure;Casual;Free to Play;Indie,Free to Play;Visual Novel;Anime,0,1083,75,18,18,100000-200000,0.0
349140,Corrosion: Cold Winter Waiting [Enhanced Edition],2015-07-01,1,Viperante,Viperante,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Horror,18,110,47,0,0,50000-100000,5.59
349320,The Rainy Port Keelung 雨港基隆,2015-03-30,1,Erotes studio,Erotes studio,windows,0,Single-player;Steam Trading Cards;Steam Cloud;Commentary available,Adventure;Indie,Adventure;Indie;Visual Novel,0,281,40,364,364,0-20000,18.99
350550,Area-X,2015-06-24,1,Zeiva Inc,Zeiva Inc,windows,0,Single-player;Steam Trading Cards,Adventure;Casual;Indie;Simulation,Visual Novel;Indie;Adventure,0,17,0,0,0,0-20000,18.99
351920,Crazy Machines 3,2016-10-18,1,Fakt Software,Daedalic Entertainment,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,Simulation;Strategy,Simulation;Strategy;Physics,41,3158,130,118,173,50000-100000,7.99
352210,Little Cells,2015-06-04,1,Fully Bugged,Fully Bugged,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie,Indie;Casual,15,15,3,0,0,0-20000,2.79
352620,Porcunipine,2015-05-21,1,Big Green Pillow,Curve Digital,windows;mac,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Indie;Action;4 Player Local,30,81,16,226,226,20000-50000,6.99
352810,Yukie: A Japanese Winter Fairy Tale,2017-07-14,1,ImCyan,AGM PLAYISM,windows,0,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie,Indie;Adventure;RPGMaker,0,20,4,0,0,0-20000,1.99
353070,Ghost Encounters: Deadwood - Collector's Edition,2015-03-13,1,Anarchy Enterprises,Anarchy Enterprises,windows,0,Single-player;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Hidden Object,0,60,64,456,456,20000-50000,3.99
353550,House of Caravan,2015-04-16,1,Rosebud Games,Rosebud Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support,Adventure;Indie,Indie;Adventure;Horror,5,399,186,161,237,100000-200000,1.59
354290,LoveBeat,2016-01-13,1,"CRAZYDIAMOND CO., LTD.","CRAZYDIAMOND CO., LTD.",windows,0,Single-player;Multi-player;Online Multi-Player;Steam Trading Cards;In-App Purchases,Action;Casual;Free to Play;Massively Multiplayer,Free to Play;Anime;Rhythm,0,674,243,13,13,200000-500000,0.0
354720,STATIC: Investigator Training,2015-04-14,1,Ethereal Darkness Interactive,Strategy First,windows,0,Single-player,Adventure;Casual;Indie,Adventure;Indie;Casual,0,13,9,0,0,0-20000,5.59
355020,Bomb The Monsters!,2015-11-06,1,Finalboss game studio,Immanitas Entertainment GmbH,windows,0,Single-player,Action;Adventure;Casual;Strategy,Action;Adventure;Casual,0,14,11,0,0,0-20000,2.79
355310,Blood Alloy: Reborn,2016-03-02,1,Suppressive Fire Games,Nkidu Games Inc.,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Pixel Graphics,12,29,14,0,0,0-20000,10.29
355520,The Albino Hunter,2015-03-11,1,Cherry Co. Studios,Cherry Co. Studios,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie;RPG,RPG;Indie;Adventure,46,238,79,80,109,50000-100000,3.99
355650,Pirates vs Corsairs: Davy Jones's Gold,2015-03-16,1,Little World Studio,Games For All,windows;mac,0,Single-player;Multi-player,Strategy,Strategy;Pirates,0,13,9,0,0,0-20000,3.99
356250,Gathering Sky,2015-08-13,1,A Stranger Gravity,A Stranger Gravity,windows;mac;linux,0,Single-player,Adventure;Indie,Indie;Adventure;Casual,0,70,5,0,0,0-20000,3.99
356510,Soccer Rage,2015-06-02,1,Stamina-Games,Stamina-Games,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Indie;Sports;Early Access,Early Access;Sports;Action,8,585,101,0,0,0-20000,6.99
356710,Band of Drones,2015-03-25,1,Kiritsu Games,Kiritsu Games,windows,0,Single-player;Shared/Split Screen;Steam Cloud,Indie;Strategy,Strategy;Indie;Turn-Based Tactics,0,3,0,0,0,0-20000,5.59
357030,Excubitor,2016-05-26,1,Tesseract Interactive,Kasedo Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Strategy,Action;Shoot 'Em Up;Strategy,26,17,7,0,0,0-20000,9.99
358190,Blake Stone: Aliens of Gold,2015-05-05,1,JAM Productions,Apogee Software,windows;mac,0,Single-player;Partial Controller Support,Action,Action;FPS;Classic,0,33,4,0,0,50000-100000,3.99
358410,Rise of the Triad: Dark War,2014-05-05,1,3D Realms (Apogee Software),Apogee Software,windows;mac,0,Single-player;Partial Controller Support,Action,Action;FPS;Classic,0,40,4,3,3,20000-50000,4.99
360650,12 Labours of Hercules III: Girl Power,2015-08-07,1,Jetdogs Studios;Zoom Out Games,Jetdogs Studios,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Strategy,Casual;Strategy;Time Management,22,729,110,325,373,100000-200000,1.99
361100,Slashers: The Power Battle,2017-11-03,1,Stun Games,KISS ltd,windows;mac;linux,0,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Partial Controller Support;Steam Cloud,Action;Indie;Early Access,Early Access;Action;Indie,0,14,1,0,0,0-20000,5.19
361110,Prometheus - The Fire Thief,2015-04-20,1,Magical Hackers,Magical Hackers,windows,0,Single-player;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,15,3,2,0,0,0-20000,3.99
